Party,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,"1.A.2.d  Pulp, Paper and Print",1289.606258,1153.698414,1170.321196,1356.462445,1295.461253,1328.18122,1299.343637,1376.484829,1284.231681,1476.841681,1448.962873,1463.622873,1463.622873,1500.222926,1616.610519,1766.32637,1770.959154,1707.817951,1652.902353,1323.431798,1286.223476,1126.035124,1018.411973,1089.367023,957.395193,958.2991386,936.2534217,950.2669622,998.3059937,974.8964209,971.5559976,
Australia,"1.A.2.e  Food Processing, Beverages and Tobacco",2895.946007,3005.066007,3001.160342,2982.926301,3109.360138,3214.908016,3200.994905,3144.093714,3124.72444,3062.397289,3079.405632,2480.746097,2489.601591,3258.2317,2965.391728,3394.254176,3309.006745,2999.019355,3061.862423,3085.256348,2999.524614,3157.991351,3007.292617,2873.593021,2835.192832,2768.067984,2727.869438,2548.749969,2523.246517,2531.536606,2506.485605,
Australia,2.H.2  Food and Beverages Industry,82.57303465,85.06805102,87.56306739,90.05808376,92.55310013,138.8481165,139.1568296,142.5888331,140.4613798,142.7929579,145.1245359,147.456114,149.787692,151.8591729,165.0063508,167.4687071,160.4940905,148.2858442,163.3798398,161.4089091,231.452869,261.5775183,218.0059828,240.3683346,201.6987728,215.7320756,272.8343345,213.3027035,218.8972662,218.9946352,213.5465096,
Austria,"1.A.2.d  Pulp, Paper and Print",2208.077629,2669.63704,2159.252616,2016.433545,2545.679775,2300.871965,2392.238646,2818.099455,2631.486152,2342.160288,2379.040203,2248.833814,2255.882973,2430.801966,2287.900335,2292.640902,2194.714594,2185.609113,2190.950627,2195.054612,2311.754297,2264.058656,2022.868653,1898.560324,1741.352369,1828.693656,1773.962648,1775.843636,1882.978787,1970.343283,1800.025837,1811.213368
Austria,"1.A.2.e  Food Processing, Beverages and Tobacco",869.7703019,932.9828795,853.8613149,885.6002112,916.2651405,931.3643565,887.4269776,1041.370089,942.5245871,831.1342993,882.3546595,925.9793631,1100.404525,944.3421173,947.4042524,959.7303513,934.4713921,886.9061912,877.593007,908.1956326,965.6560646,962.1831407,942.2145105,826.9650578,922.2076896,979.6728961,815.7571405,803.0437289,769.1996283,759.4837092,789.5702198,794.4028147
Austria,2.H.1  Pulp and Paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,"1.A.2.d  Pulp, Paper and Print",75.753029,78.906334,48.803417,36.677354,67.5479335,83.6789485,36.4990685,44.2547965,84.662329,85.094564,37.3043165,68.804275,52.299749,47.0908165,53.4353315,59.5009095,56.643674,52.101062,42.458902,10.550442,10.550442,10.550442,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE"
Belarus,"1.A.2.e  Food Processing, Beverages and Tobacco",605.527263,604.584716,395.254099,319.0186145,198.3268145,91.5164265,90.29755,45.018388,161.0257365,151.294274,108.3002615,94.1080055,113.2311725,102.406464,125.160306,127.192131,129.348781,140.6668855,168.3716735,209.2908675,275.8933855,300.891798,273.6959043,321.3392425,277.4527165,267.7223365,288.636595,254.8892395,268.172461,271.363671,262.037273,253.046351
Belarus,2.H.1  Pulp and Paper,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,2.H.2  Food and Beverages Industry,NO,NO,NO,NO,NO,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
